Team Code,Game Code,Result,Points,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Third Down Conv %,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,Outcome
204,774020420051105,0,36,16,35,1,59,40,399,4,1,0,3,72,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,0,0,0,0,36,1,50,7,390,2,2,0,1,1,47,32,6,23,3,14,6,2,0,1,3,20,1,1741,6,59,15,8,53.33333333,5,3,4,3,0,-1
774,774020420051105,0,44,41,189,2,31,23,243,4,0,0,3,66,0,1,17,0,0,0,0,1,38,0,0,0,0,2,1,6,5,0,0,0,0,0,44,2,66,7,383,1,2,0,2,1,37,36,3,21,2,17,0,1,2,1,11,14,3,1859,6,45,12,8,66.66666667,1,1,5,5,0,-1
71,774007120051022,0,14,41,106,2,47,26,340,0,2,1,3,71,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,14,4,132,3,154,0,0,0,2,1,32,62,6,23,2,5,1,1,5,0,10,15,3,1810,7,75,18,7,38.88888889,3,1,4,2,0,-1
774,774007120051022,0,45,48,213,2,26,16,258,3,0,0,2,44,0,1,10,0,1,53,1,2,0,0,1,42,0,2,1,6,6,0,0,0,0,0,45,4,161,8,419,3,0,0,1,1,49,32,8,52,5,43,3,2,3,2,13,11,2,1790,4,40,13,6,46.15384615,1,1,5,4,1,-1
231,772023120051119,0,38,36,168,4,36,22,324,1,0,0,4,75,0,1,-2,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,38,3,107,6,381,1,0,0,1,1,27,60,5,19,0,0,1,1,1,0,10,13,1,1741,11,107,15,10,66.66666667,0,0,6,5,1,-1
772,772023120051119,0,35,44,222,2,14,11,125,3,0,0,5,128,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,35,3,105,6,335,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,6,2,1859,4,32,12,7,58.33333333,2,0,5,4,0,-1
37,772003720050924,0,37,42,209,1,22,13,200,3,0,0,2,74,0,3,23,0,0,0,0,2,35,0,0,0,0,3,3,4,4,0,0,0,0,0,37,3,118,8,500,3,1,0,1,1,34,26,7,27,3,13,5,1,1,0,12,7,1,1934,8,65,9,3,33.33333333,0,0,6,3,3,-1
772,772003720050924,0,14,34,155,2,22,12,187,0,2,0,4,72,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,4,162,3,145,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1666,4,35,13,5,38.46153846,1,0,2,1,0,-1
709,771070920050901,0,62,37,210,3,26,16,191,2,0,0,1,94,1,2,38,0,1,37,1,3,98,1,0,0,0,2,2,8,8,0,0,0,0,0,62,3,99,11,627,4,0,0,1,1,44,36,13,47,4,24,1,3,0,1,13,7,3,1678,15,125,13,8,61.53846154,0,0,6,4,2,-1
771,771070920050901,0,14,41,64,0,29,18,239,2,3,0,7,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,4,157,3,129,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,11,2,1922,9,78,13,6,46.15384615,2,0,3,1,0,-1
140,769014020050917,0,7,41,185,1,24,10,88,0,1,0,2,19,0,7,47,0,0,0,0,3,2,0,0,0,0,1,0,1,1,0,0,0,0,0,7,9,341,2,123,1,0,0,2,1,45,24,9,32,2,20,3,1,6,0,12,3,1,1710,7,53,13,3,23.07692308,0,0,1,1,0,-1
769,769014020050917,0,3,34,82,0,40,20,202,0,3,0,1,19,0,5,18,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,9,389,2,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,9,2,1890,5,55,16,5,31.25,1,0,4,0,1,-1
688,768068820050904,0,7,26,18,1,31,15,85,0,2,0,4,81,0,1,20,0,1,9,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,11,481,3,179,1,0,0,3,0,57,20,6,16,1,6,1,4,5,0,3,3,1,1565,11,71,15,0,0,1,0,1,1,0,-1
768,768068820050904,0,15,45,172,0,27,17,167,0,1,0,2,62,0,3,33,0,0,0,0,2,31,1,0,0,0,3,2,1,1,0,0,0,0,1,15,7,249,4,249,0,0,0,4,4,35,12,8,40,3,20,1,1,3,0,8,8,0,2035,7,65,14,1,7.142857143,2,2,4,0,2,-1
651,768065120051203,0,13,43,149,1,38,19,221,0,3,0,5,138,0,1,18,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,13,2,70,3,185,0,1,1,1,0,36,24,9,26,0,0,0,0,1,0,12,11,0,1907,5,35,19,9,47.36842105,5,2,4,1,2,-1
768,768065120051203,0,28,44,305,3,10,5,89,1,1,0,2,52,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,4,4,0,0,0,0,0,28,2,99,5,290,0,0,0,1,1,57,18,8,18,1,6,0,0,5,0,11,4,1,1693,5,33,11,7,63.63636364,1,1,3,2,0,-1
587,768058720051008,0,14,40,124,2,31,18,171,0,3,0,3,67,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,5,162,3,183,1,0,0,1,1,32,44,14,29,3,12,5,0,1,0,9,8,0,2024,7,45,17,8,47.05882353,3,2,2,2,0,-1
768,768058720051008,0,27,43,236,1,11,9,78,1,0,0,2,58,0,2,30,1,0,0,0,3,11,0,0,0,0,3,2,3,3,0,0,0,0,0,27,4,183,6,365,2,1,0,0,0,41,36,6,19,2,12,2,0,3,1,12,3,0,1576,5,34,12,5,41.66666667,0,0,4,2,1,-1
392,768039220050917,0,19,29,50,0,31,20,291,2,0,0,1,57,0,2,22,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,19,6,232,5,313,1,0,0,4,1,35,66,2,6,2,6,0,1,2,1,2,12,1,1460,4,30,13,2,15.38461538,3,1,3,1,2,-1
768,768039220050917,0,31,64,301,4,11,8,86,0,0,0,4,90,0,3,38,0,1,14,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,6,185,6,383,5,0,0,3,1,32,26,6,27,2,17,1,3,2,0,13,3,2,2140,9,68,19,9,47.36842105,0,0,4,4,0,-1
257,768025720060102,0,35,28,224,2,33,20,277,3,0,0,2,28,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,35,3,137,6,390,1,0,0,4,3,68,11,7,30,2,14,2,0,0,0,10,14,3,1441,4,50,10,5,50,1,1,1,1,0,-1
768,768025720060102,0,38,63,382,4,14,11,120,1,0,0,5,111,0,1,19,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,38,4,144,7,453,5,0,0,1,0,42,6,1,1,0,0,2,3,4,0,18,7,2,2159,9,74,14,7,50,2,2,5,3,1,-1
140,768014020051109,0,0,33,62,0,29,21,207,0,2,0,7,106,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,324,1,63,0,0,0,4,2,38,40,5,18,1,4,1,0,1,0,6,8,1,1798,4,28,12,4,33.33333333,0,0,0,0,0,-1
768,768014020051109,0,38,50,297,4,13,8,109,1,0,0,1,17,0,4,52,0,0,0,0,2,28,0,0,0,0,1,1,5,5,0,0,0,0,0,38,7,243,7,407,0,0,0,0,0,42,34,5,23,2,12,1,3,2,0,12,5,0,1802,7,45,14,6,42.85714286,0,0,5,4,1,-1
96,758009620050910,0,55,30,157,3,22,16,200,3,0,0,3,29,0,6,253,2,0,0,0,1,4,0,0,0,0,1,0,8,7,0,0,0,0,0,55,3,85,9,549,3,0,0,1,0,43,26,7,16,1,5,0,0,5,0,9,6,3,1624,11,112,10,6,60,0,0,3,3,0,-1
758,758009620050910,0,17,35,77,0,42,23,261,2,1,0,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,17,7,269,4,189,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,12,3,1976,7,63,18,8,44.44444444,1,0,3,1,1,-1
721,756072120050903,0,20,52,218,1,22,13,207,1,0,0,3,54,0,2,13,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,2,60,5,229,0,1,0,3,2,35,20,4,4,0,0,0,0,1,0,12,8,2,1912,4,35,17,9,52.94117647,3,3,3,1,2,-1
756,756072120050903,0,17,34,129,1,27,19,242,1,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,17,4,179,4,251,1,0,0,2,0,42,46,3,7,0,0,0,2,1,0,5,13,0,1688,5,41,12,6,50,1,0,2,1,0,-1
529,756052920051015,0,45,31,146,2,50,37,424,4,0,0,4,125,0,3,21,0,0,0,0,1,26,0,0,0,0,1,1,6,6,0,0,0,0,0,45,2,80,8,447,2,0,0,2,2,35,26,7.5,26,4,23,3,0,1,0,7,20,3,1823,10,82,13,7,53.84615385,2,2,7,5,1,-1
756,756052920051015,0,21,35,121,1,28,15,117,2,1,0,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,21,7,314,4,251,0,0,0,0,0,50,32,5,9,0,0,0,1,0,0,5,7,3,1777,7,60,14,4,28.57142857,2,2,3,3,0,-1
110,756011020051001,0,21,25,65,1,44,29,287,2,2,0,2,47,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,21,8,299,4,255,2,1,0,0,0,43,17,7,19,2,10,0,1,5,0,6,12,2,1684,13,110,11,2,18.18181818,1,1,4,3,0,-1
756,756011020051001,0,17,41,213,2,28,14,188,0,0,0,1,26,0,2,4,0,0,0,0,2,0,0,0,0,0,3,1,2,2,0,0,0,0,0,17,6,236,4,238,2,0,0,2,2,41,16,2,4,0,0,0,0,9,0,9,7,1,1916,8,55,16,4,25,2,1,4,2,1,-1
29,756002920051112,0,14,30,87,0,41,22,235,2,3,0,2,60,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,6,280,3,184,1,0,0,2,2,44,30,4,21,2,16,0,0,2,0,4,13,4,1688,5,55,14,6,42.85714286,0,0,3,2,0,-1
756,756002920051112,0,38,52,333,3,19,10,157,1,1,0,2,48,0,2,40,0,0,0,0,3,91,1,0,0,0,1,1,5,5,0,0,0,0,0,38,4,152,6,386,4,0,0,0,0,45,8,8,21,1,8,0,1,7,0,16,4,1,1912,9,95,14,6,42.85714286,3,1,3,2,1,-1
28,756002820051029,0,44,43,77,2,34,27,401,3,0,0,3,110,0,1,21,0,1,-1,0,2,58,1,0,0,0,2,1,5,5,0,0,0,0,0,44,3,125,6,387,3,0,0,2,0,38,24,4,10,1,5,0,2,5,0,7,18,1,2076,14,91,15,10,66.66666667,1,1,5,4,1,-1
756,756002820051029,0,20,40,213,2,26,10,185,0,2,0,3,73,0,1,9,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,1,42,5,326,2,0,0,2,2,49,36,9,61,7,54,0,2,1,0,10,8,5,1524,5,25,9,3,33.33333333,2,1,4,2,2,-1
754,754075620051119,0,26,47,224,1,35,21,283,2,0,0,3,76,0,2,10,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1,0,0,0,0,26,3,95,6,376,2,0,0,1,1,35,10,6,11,2,2,0,1,5,0,11,13,3,2191,4,40,17,8,47.05882353,1,1,3,1,1,-1
756,754075620051119,0,22,28,99,1,28,14,228,2,0,1,4,78,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,22,8,349,4,246,1,0,0,1,1,57,14,10,36,4,26,0,0,3,0,4,8,0,1409,8,80,15,5,33.33333333,2,1,2,2,0,-1
657,754065720051029,0,55,50,312,4,43,29,433,3,1,0,2,36,0,6,24,0,0,0,0,0,0,0,0,0,0,2,2,7,7,0,0,0,0,0,55,2,79,10,564,5,0,0,3,1,33,28,4,16,0,0,0,1,2,1,21,17,2,2196,8,57,14,10,71.42857143,0,0,6,4,2,-1
754,754065720051029,0,13,33,195,2,25,13,89,0,0,0,4,37,0,2,31,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,9,387,3,173,0,1,0,3,2,60,32,5,14,1,10,0,2,3,0,7,6,0,1404,4,28,13,2,15.38461538,2,1,3,2,0,-1
