,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
83,146,09/17/2005,2005,1, Clemson, Miami (Florida),30,36, Miami (Florida),-6,-5,1,-3,3,-1.0,15.0,136.0,-12.0,-102.0,-30.0,-105.0,-206.0,3.0,1.0,29.0
84,147,09/17/2005,2005,1, Notre Dame, Michigan State,41,44, Michigan State,-3,3,6,3,3,-1.0,17.0,160.0,3.0,7.0,2.0,-54.0,698.0,3.0,0.0,33.0
85,148,09/17/2005,2005,1, Tulane, Mississippi State,14,21, Mississippi State,-7,3,6,2,3,1.0,14.0,98.0,4.0,16.0,5.0,-30.0,732.0,3.0,-1.0,22.0
86,149,09/17/2005,2005,1, Vanderbilt, Mississippi,31,23, Vanderbilt,8,10,3,7,-2,0.0,7.0,38.0,-1.0,-35.0,21.0,85.0,888.0,-2.0,0.0,6.0
87,151,09/17/2005,2005,1, New Mexico, New Mexico State,38,21, New Mexico,17,9,0,4,-2,0.0,0.0,-93.0,6.0,34.0,18.0,216.0,608.0,-4.0,-2.0,-10.0
88,156,09/17/2005,2005,1, Virginia Tech, Ohio,45,0, Virginia Tech,45,6,2,7,0,-1.0,4.0,155.0,1.0,0.0,21.0,131.0,400.0,1.0,-2.0,-4.0
89,157,09/17/2005,2005,1, UCLA, Oklahoma,41,24, UCLA,17,-7,-3,0,-2,-3.0,8.0,73.0,1.0,15.0,-15.0,-74.0,-44.0,-3.0,0.0,9.0
90,158,09/17/2005,2005,1, Louisville, Oregon State,63,27, Louisville,36,5,-17,-8,-2,-2.0,-12.0,51.0,-4.0,-13.0,-10.0,83.0,-1128.0,-3.0,0.0,-34.0
91,159,09/17/2005,2005,1, Nebraska, Pittsburgh,7,6, Nebraska,1,5,1,2,1,0.0,-1.0,-97.0,7.0,56.0,12.0,60.0,326.0,1.0,0.0,-8.0
92,160,09/17/2005,2005,1, Arizona, Purdue,24,31, Purdue,-7,-8,3,1,2,1.0,16.0,143.0,3.0,-8.0,-21.0,-226.0,-236.0,3.0,0.0,22.0
93,161,09/17/2005,2005,1, Texas, Rice,51,10, Texas,41,12,-3,1,0,-2.0,7.0,23.0,3.0,38.0,1.0,251.0,74.0,-2.0,1.0,3.0
94,162,09/17/2005,2005,1, Buffalo, Rutgers,3,17, Rutgers,-14,2,6,2,1,0.0,11.0,78.0,-4.0,-16.0,12.0,-17.0,724.0,5.0,-1.0,12.0
95,163,09/17/2005,2005,1, Texas Tech, Sam Houston State,80,21, Texas Tech,59,4,-3,3,0,-1.0,21.0,455.0,5.0,36.0,-2.0,62.0,252.0,0.0,0.0,14.0
96,164,09/17/2005,2005,1, Ohio State, San Diego State,27,6, Ohio State,21,10,7,9,0,0.0,9.0,30.0,-4.0,-21.0,27.0,166.0,988.0,0.0,1.0,14.0
97,165,09/17/2005,2005,1, Western Michigan, Southern Illinois,34,28, Western Michigan,6,1,7,4,1,-1.0,12.0,27.0,3.0,7.0,1.0,55.0,528.0,1.0,0.0,16.0
98,172,09/17/2005,2005,1, North Texas, Tulsa,2,54, Tulsa,-52,-6,3,-2,-1,1.0,-3.0,-134.0,9.0,81.0,-5.0,-143.0,76.0,-2.0,2.0,0.0
99,173,09/17/2005,2005,1, Duke, Virginia Military,40,14, Duke,26,6,-1,2,2,2.0,-1.0,7.0,1.0,21.0,11.0,165.0,160.0,1.0,-2.0,1.0
100,175,09/17/2005,2005,1, Maryland, West Virginia,19,31, West Virginia,-12,-11,-6,-7,1,0.0,12.0,205.0,-5.0,-38.0,-35.0,-251.0,-680.0,3.0,0.0,20.0
101,176,09/17/2005,2005,1, Cincinnati, Western Carolina,7,3, Cincinnati,4,6,-3,-2,0,1.0,-10.0,-114.0,2.0,-2.0,7.0,103.0,-180.0,-1.0,-2.0,-16.0
102,181,09/22/2005,2005,1, Texas A&M, Texas State,44,31, Texas A&M,13,8,-1,-3,1,0.0,-13.0,-61.0,-9.0,-69.0,16.0,127.0,-64.0,-1.0,-1.0,-12.0
103,182,09/22/2005,2005,1, Utah, Air Force,38,35, Utah,3,-6,2,0,0,0.0,8.0,71.0,2.0,20.0,-7.0,-99.0,258.0,0.0,-1.0,3.0
104,183,09/23/2005,2005,1, New Mexico State, California,13,41, California,-28,0,7,2,2,0.0,1.0,-120.0,-3.0,-25.0,-9.0,-133.0,-190.0,3.0,2.0,13.0
105,185,09/24/2005,2005,1, Oregon State, Arizona State,24,42, Arizona State,-18,4,5,3,1,3.0,8.0,1.0,-2.0,-30.0,15.0,49.0,716.0,0.0,3.0,11.0
106,188,09/24/2005,2005,1, Miami (Florida), Colorado,23,3, Miami (Florida),20,0,-4,-2,-1,-1.0,-4.0,43.0,-12.0,-36.0,-3.0,13.0,-442.0,-3.0,-2.0,-3.0
107,192,09/24/2005,2005,1, Arkansas State, Florida International,66,24, Arkansas State,42,4,-9,-3,-2,0.0,-19.0,-168.0,0.0,14.0,-5.0,206.0,-1176.0,-3.0,-5.0,-32.0
108,193,09/24/2005,2005,1, Kentucky, Florida,28,49, Florida,-21,0,-4,-7,0,0.0,-12.0,-188.0,-7.0,-70.0,-9.0,-54.0,-568.0,1.0,3.0,-3.0
109,196,09/24/2005,2005,1, Idaho, Hawai'i,0,24, Hawai'i,-24,-1,-4,-6,0,0.0,-28.0,-252.0,-3.0,-4.0,-4.0,0.0,-1036.0,-2.0,1.0,-22.0
110,197,09/24/2005,2005,1, Texas Tech, Indiana State,63,7, Texas Tech,56,2,-7,0,0,-3.0,18.0,176.0,2.0,34.0,-16.0,94.0,-152.0,0.0,1.0,15.0
111,200,09/24/2005,2005,1, South Florida, Louisville,45,14, South Florida,31,5,-3,-1,0,-1.0,-24.0,-285.0,-6.0,-54.0,14.0,147.0,-472.0,-2.0,0.0,-37.0
112,204,09/24/2005,2005,1, Illinois, Michigan State,14,61, Michigan State,-47,-13,-1,-3,0,1.0,-10.0,-181.0,-2.0,14.0,-15.0,-253.0,-550.0,-1.0,1.0,-4.0
113,206,09/24/2005,2005,1, North Carolina State, North Carolina,24,31, North Carolina,-7,-7,1,-1,0,1.0,8.0,80.0,1.0,8.0,-21.0,-131.0,-524.0,-1.0,-1.0,12.0
114,209,09/24/2005,2005,1, UTEP, New Mexico,21,13, UTEP,8,-5,1,2,0,0.0,1.0,42.0,0.0,8.0,-12.0,-79.0,-436.0,0.0,0.0,6.0
115,210,09/24/2005,2005,1, Kansas State, North Texas,54,7, Kansas State,47,11,1,9,0,0.0,6.0,279.0,4.0,29.0,27.0,218.0,666.0,0.0,1.0,1.0
116,211,09/24/2005,2005,1, Akron, Northern Illinois,48,42, Akron,6,1,-1,-1,-1,-1.0,-19.0,-80.0,2.0,6.0,5.0,69.0,-72.0,-1.0,-1.0,-13.0
117,214,09/24/2005,2005,1, Minnesota, Purdue,42,35, Minnesota,7,15,5,7,1,0.0,7.0,25.0,1.0,15.0,39.0,121.0,1028.0,0.0,1.0,2.0
118,215,09/24/2005,2005,1, Vanderbilt, Richmond,37,13, Vanderbilt,24,5,4,7,1,0.0,13.0,26.0,0.0,14.0,13.0,148.0,682.0,1.0,-1.0,11.0
119,216,09/24/2005,2005,1, San Diego State, San Jose State,52,21, San Diego State,31,4,2,9,-3,2.0,13.0,202.0,6.0,21.0,27.0,78.0,736.0,-2.0,-2.0,-7.0
120,217,09/24/2005,2005,1, Oregon, USC,13,45, USC,-32,-9,1,-5,0,-1.0,-2.0,-118.0,-4.0,-18.0,-13.0,-213.0,-320.0,0.0,0.0,-2.0
121,224,09/24/2005,2005,1, Pittsburgh, Youngstown State,41,0, Pittsburgh,41,6,-1,5,1,1.0,7.0,264.0,0.0,-9.0,12.0,112.0,144.0,-1.0,0.0,-1.0
122,225,09/26/2005,2005,1, LSU, Tennessee,27,30, Tennessee,-3,-1,-3,-4,-1,0.0,-14.0,-92.0,-3.0,-26.0,-1.0,28.0,-660.0,-1.0,-1.0,-23.0
123,227,09/28/2005,2005,1, Miami (Ohio), Cincinnati,44,16, Miami (Ohio),28,4,0,0,0,0.0,-4.0,117.0,1.0,22.0,13.0,108.0,372.0,0.0,-4.0,-9.0
124,229,09/30/2005,2005,1, Rutgers, Pittsburgh,37,29, Rutgers,8,8,-4,-3,-1,-2.0,-21.0,-121.0,6.0,57.0,18.0,214.0,260.0,-3.0,1.0,-31.0
