,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
84,147,09/17/2005,2005,1,Notre Dame,Michigan State,41,44,0,-3,3,6,3,3,-1,17,160,3,7,2,-54,698,3,0,33
85,148,09/17/2005,2005,1,Tulane,Mississippi State,14,21,0,-7,3,6,2,3,1,14,98,4,16,5,-30,732,3,-1,22
86,149,09/17/2005,2005,1,Vanderbilt,Mississippi,31,23,1,8,10,3,7,-2,0,7,38,-1,-35,21,85,888,-2,0,6
87,151,09/17/2005,2005,1,New Mexico,New Mexico State,38,21,1,17,9,0,4,-2,0,0,-93,6,34,18,216,608,-4,-2,-10
88,156,09/17/2005,2005,1,Virginia Tech,Ohio,45,0,1,45,6,2,7,0,-1,4,155,1,0,21,131,400,1,-2,-4
89,157,09/17/2005,2005,1,UCLA,Oklahoma,41,24,1,17,-7,-3,0,-2,-3,8,73,1,15,-15,-74,-44,-3,0,9
90,158,09/17/2005,2005,1,Louisville,Oregon State,63,27,1,36,5,-17,-8,-2,-2,-12,51,-4,-13,-10,83,-1128,-3,0,-34
91,159,09/17/2005,2005,1,Nebraska,Pittsburgh,7,6,1,1,5,1,2,1,0,-1,-97,7,56,12,60,326,1,0,-8
92,160,09/17/2005,2005,1,Arizona,Purdue,24,31,0,-7,-8,3,1,2,1,16,143,3,-8,-21,-226,-236,3,0,22
93,161,09/17/2005,2005,1,Texas,Rice,51,10,1,41,12,-3,1,0,-2,7,23,3,38,1,251,74,-2,1,3
94,162,09/17/2005,2005,1,Buffalo,Rutgers,3,17,0,-14,2,6,2,1,0,11,78,-4,-16,12,-17,724,5,-1,12
95,163,09/17/2005,2005,1,Texas Tech,Sam Houston State,80,21,1,59,4,-3,3,0,-1,21,455,5,36,-2,62,252,0,0,14
96,164,09/17/2005,2005,1,Ohio State,San Diego State,27,6,1,21,10,7,9,0,0,9,30,-4,-21,27,166,988,0,1,14
97,165,09/17/2005,2005,1,Western Michigan,Southern Illinois,34,28,1,6,1,7,4,1,-1,12,27,3,7,1,55,528,1,0,16
98,172,09/17/2005,2005,1,North Texas,Tulsa,2,54,0,-52,-6,3,-2,-1,1,-3,-134,9,81,-5,-143,76,-2,2,0
99,173,09/17/2005,2005,1,Duke,Virginia Military,40,14,1,26,6,-1,2,2,2,-1,7,1,21,11,165,160,1,-2,1
100,175,09/17/2005,2005,1,Maryland,West Virginia,19,31,0,-12,-11,-6,-7,1,0,12,205,-5,-38,-35,-251,-680,3,0,20
101,176,09/17/2005,2005,1,Cincinnati,Western Carolina,7,3,1,4,6,-3,-2,0,1,-10,-114,2,-2,7,103,-180,-1,-2,-16
102,181,09/22/2005,2005,1,Texas A&M,Texas State,44,31,1,13,8,-1,-3,1,0,-13,-61,-9,-69,16,127,-64,-1,-1,-12
103,182,09/22/2005,2005,1,Utah,Air Force,38,35,1,3,-6,2,0,0,0,8,71,2,20,-7,-99,258,0,-1,3
104,183,09/23/2005,2005,1,New Mexico State,California,13,41,0,-28,0,7,2,2,0,1,-120,-3,-25,-9,-133,-190,3,2,13
105,185,09/24/2005,2005,1,Oregon State,Arizona State,24,42,0,-18,4,5,3,1,3,8,1,-2,-30,15,49,716,0,3,11
106,188,09/24/2005,2005,1,Miami (Florida),Colorado,23,3,1,20,0,-4,-2,-1,-1,-4,43,-12,-36,-3,13,-442,-3,-2,-3
107,192,09/24/2005,2005,1,Arkansas State,Florida International,66,24,1,42,4,-9,-3,-2,0,-19,-168,0,14,-5,206,-1176,-3,-5,-32
108,193,09/24/2005,2005,1,Kentucky,Florida,28,49,0,-21,0,-4,-7,0,0,-12,-188,-7,-70,-9,-54,-568,1,3,-3
109,196,09/24/2005,2005,1,Idaho,Hawai'i,0,24,0,-24,-1,-4,-6,0,0,-28,-252,-3,-4,-4,0,-1036,-2,1,-22
110,197,09/24/2005,2005,1,Texas Tech,Indiana State,63,7,1,56,2,-7,0,0,-3,18,176,2,34,-16,94,-152,0,1,15
111,200,09/24/2005,2005,1,South Florida,Louisville,45,14,1,31,5,-3,-1,0,-1,-24,-285,-6,-54,14,147,-472,-2,0,-37
112,204,09/24/2005,2005,1,Illinois,Michigan State,14,61,0,-47,-13,-1,-3,0,1,-10,-181,-2,14,-15,-253,-550,-1,1,-4
113,206,09/24/2005,2005,1,North Carolina State,North Carolina,24,31,0,-7,-7,1,-1,0,1,8,80,1,8,-21,-131,-524,-1,-1,12
114,209,09/24/2005,2005,1,UTEP,New Mexico,21,13,1,8,-5,1,2,0,0,1,42,0,8,-12,-79,-436,0,0,6
115,210,09/24/2005,2005,1,Kansas State,North Texas,54,7,1,47,11,1,9,0,0,6,279,4,29,27,218,666,0,1,1
116,211,09/24/2005,2005,1,Akron,Northern Illinois,48,42,1,6,1,-1,-1,-1,-1,-19,-80,2,6,5,69,-72,-1,-1,-13
117,214,09/24/2005,2005,1,Minnesota,Purdue,42,35,1,7,15,5,7,1,0,7,25,1,15,39,121,1028,0,1,2
118,215,09/24/2005,2005,1,Vanderbilt,Richmond,37,13,1,24,5,4,7,1,0,13,26,0,14,13,148,682,1,-1,11
119,216,09/24/2005,2005,1,San Diego State,San Jose State,52,21,1,31,4,2,9,-3,2,13,202,6,21,27,78,736,-2,-2,-7
120,217,09/24/2005,2005,1,Oregon,USC,13,45,0,-32,-9,1,-5,0,-1,-2,-118,-4,-18,-13,-213,-320,0,0,-2
121,224,09/24/2005,2005,1,Pittsburgh,Youngstown State,41,0,1,41,6,-1,5,1,1,7,264,0,-9,12,112,144,-1,0,-1
122,225,09/26/2005,2005,1,LSU,Tennessee,27,30,0,-3,-1,-3,-4,-1,0,-14,-92,-3,-26,-1,28,-660,-1,-1,-23
123,227,09/28/2005,2005,1,Miami (Ohio),Cincinnati,44,16,1,28,4,0,0,0,0,-4,117,1,22,13,108,372,0,-4,-9
124,229,09/30/2005,2005,1,Rutgers,Pittsburgh,37,29,1,8,8,-4,-3,-1,-2,-21,-121,6,57,18,214,260,-3,1,-31
125,232,10/01/2005,2005,1,Boston College,Ball State,38,0,1,38,11,-2,6,-1,2,6,135,0,-19,6,177,258,-1,0,9
126,237,10/01/2005,2005,1,Louisiana-Lafayette,UCF,21,24,0,-3,-1,-3,-2,0,-1,0,-104,-2,-15,-8,52,-298,0,1,4
127,238,10/01/2005,2005,1,Akron,Central Michigan,17,31,0,-14,-2,3,1,1,1,12,46,1,0,-15,-147,216,1,2,24
128,239,10/01/2005,2005,1,Wake Forest,Clemson,31,27,1,4,-3,3,1,1,1,-8,-82,2,14,3,-17,-14,0,-1,-17
129,240,10/01/2005,2005,1,Oklahoma State,Colorado,0,34,0,-34,-1,1,-4,2,-1,-2,-52,-2,-39,-3,-121,18,3,2,1
130,241,10/01/2005,2005,1,Army,Connecticut,13,47,0,-34,-5,4,-1,2,0,1,10,0,-12,-4,-96,150,5,4,15
131,245,10/01/2005,2005,1,Tulsa,Houston,23,30,0,-7,-3,6,7,-1,1,7,7,4,35,-19,-123,-82,-1,0,18
132,248,10/01/2005,2005,1,Nebraska,Iowa State,27,20,1,7,-4,-5,-2,-1,1,13,114,4,46,-13,-21,-196,-1,-1,14
133,249,10/01/2005,2005,1,Oklahoma,Kansas State,43,21,1,22,6,-1,-1,0,-2,-2,-87,-2,6,12,210,148,-1,-1,-7
134,251,10/01/2005,2005,1,Eastern Michigan,Kent State,27,20,1,7,1,5,3,0,0,-6,-25,-2,-6,11,46,620,0,-1,-6
135,252,10/01/2005,2005,1,Mississippi State,LSU,7,37,0,-30,-7,3,-3,1,-1,-12,-57,2,0,-9,-116,-310,2,1,-2
136,254,10/01/2005,2005,1,Vanderbilt,Middle Tennessee,15,17,0,-2,3,5,4,0,0,12,98,-1,-8,2,40,656,0,1,23
137,256,10/01/2005,2005,1,Tennessee,Mississippi,27,10,1,17,7,5,4,0,-1,0,6,-2,-8,23,122,708,1,-2,-3
138,258,10/01/2005,2005,1,San Jose State,Nevada,23,30,0,-7,-8,-2,-9,1,-2,0,102,3,26,-19,-99,-602,2,2,5
139,265,10/01/2005,2005,1,Miami (Florida),South Florida,27,7,1,20,2,-5,-1,0,2,2,104,0,3,6,73,178,0,-3,-5
140,266,10/01/2005,2005,1,Tulane,Southeastern Louisiana,28,21,1,7,-1,-2,-2,1,-1,-14,56,2,30,-6,-13,-700,2,1,-4
141,267,10/01/2005,2005,1,Arizona State,USC,28,38,0,-10,-13,-1,1,1,-1,3,89,-7,-35,-17,-305,-584,0,5,6
142,270,10/01/2005,2005,1,Florida State,Syracuse,38,14,1,24,3,2,3,1,-2,8,207,5,45,5,71,210,0,0,11
143,271,10/01/2005,2005,1,Bowling Green,Temple,70,7,1,63,-1,-2,2,1,-2,14,224,-2,-1,3,-26,-86,-1,-2,7
144,272,10/01/2005,2005,1,Missouri,Texas,20,51,0,-31,-3,8,3,0,1,6,-45,-9,-104,-3,-210,60,0,0,17
145,273,10/01/2005,2005,1,Memphis,UTEP,27,20,1,7,4,2,1,0,-3,-10,-309,6,76,26,178,728,-1,-3,-32
146,274,10/01/2005,2005,1,Duke,Navy,21,28,0,-7,3,11,8,2,-1,12,65,-5,-39,23,-147,1084,1,0,18
147,275,10/01/2005,2005,1,Idaho,Utah State,27,13,1,14,-2,1,3,1,2,6,81,6,62,7,-35,348,0,-2,-2
148,276,10/01/2005,2005,1,North Carolina,Utah,31,17,1,14,-5,3,3,0,-4,-6,56,-6,-36,1,-82,-50,0,1,-3
149,278,10/01/2005,2005,1,Maryland,Virginia,45,33,1,12,6,-6,0,0,0,8,50,3,1,11,114,244,-1,2,-2
150,279,10/01/2005,2005,1,Oregon State,Washington State,44,33,1,11,-3,2,1,0,0,-11,-235,0,-17,-2,7,-232,0,-2,-14
151,280,10/01/2005,2005,1,UCLA,Washington,21,17,1,4,-3,-5,-2,0,-2,15,99,5,55,-16,-148,-232,-1,2,16
152,282,10/05/2005,2005,1,Northern Illinois,Miami (Ohio),38,27,1,11,2,1,5,-1,1,2,163,4,57,11,52,297,-1,0,-10
153,283,10/06/2005,2005,1,Louisiana-Lafayette,Florida Atlantic,10,28,0,-18,-2,-8,-6,-1,0,-11,-229,-3,-16,-17,16,-557,-1,2,-9
154,284,10/06/2005,2005,1,Georgia Tech,North Carolina State,14,17,0,-3,5,8,2,3,0,3,49,-7,-68,7,108,504,3,0,28
155,285,10/07/2005,2005,1,Connecticut,Syracuse,26,7,1,19,7,0,0,0,-1,-4,-80,-1,-15,24,149,654,-2,-2,-16
156,286,10/08/2005,2005,1,Buffalo,Akron,7,13,0,-6,2,-2,0,-1,0,0,-74,-2,-40,2,-13,286,-2,1,-8
157,288,10/08/2005,2005,1,Western Michigan,Ball State,57,60,0,-3,-1,-3,-2,1,1,3,67,-1,12,-2,-69,-212,0,1,-5
158,289,10/08/2005,2005,1,Iowa State,Baylor,13,23,0,-10,0,-3,-3,1,1,1,50,-5,-27,4,-6,136,2,1,5
159,292,10/08/2005,2005,1,UCLA,California,47,40,1,7,-9,1,2,1,1,-1,10,0,3,-10,-160,-562,1,-1,-2
160,293,10/08/2005,2005,1,Army,Central Michigan,10,14,0,-4,1,-2,-3,1,0,-8,-26,-2,-20,7,8,94,2,0,-12
161,294,10/08/2005,2005,1,Pittsburgh,Cincinnati,38,20,1,18,-1,0,0,0,1,1,-24,-1,-12,0,33,-102,-1,-1,0
162,295,10/08/2005,2005,1,Mississippi,Citadel,27,7,1,20,3,1,4,0,1,15,233,4,36,10,52,610,0,0,16
163,296,10/08/2005,2005,1,Miami (Florida),Duke,52,7,1,45,6,-3,3,0,0,18,294,2,-1,0,135,-36,0,2,23
164,297,10/08/2005,2005,1,Toledo,Eastern Michigan,30,3,1,27,9,-5,-2,-1,-1,-9,-29,0,7,16,194,134,0,-1,-16
165,298,10/08/2005,2005,1,Tennessee,Georgia,14,27,0,-13,-8,1,-1,0,1,5,103,8,43,-16,-150,-258,0,0,9
166,300,10/08/2005,2005,1,Tulane,Houston,14,35,0,-21,-3,1,-1,0,1,2,-72,-9,-90,-9,-128,32,1,0,11
167,301,10/08/2005,2005,1,Nevada,Idaho,62,14,1,48,8,-3,2,1,-1,-2,-3,4,31,21,227,426,0,-1,-17
168,302,10/08/2005,2005,1,Indiana,Illinois,36,13,1,23,4,2,4,1,1,0,-32,1,-4,12,92,230,0,-1,-4
169,303,10/08/2005,2005,1,Purdue,Iowa,17,34,0,-17,-8,-3,-3,1,0,12,-4,4,35,-26,-86,-708,2,1,17
170,304,10/08/2005,2005,1,Kansas State,Kansas,12,3,1,9,2,3,2,0,-3,7,20,3,21,12,-74,946,-3,1,2
171,305,10/08/2005,2005,1,South Carolina,Kentucky,44,16,1,28,-7,-2,1,-2,-3,12,183,5,47,-19,-74,-98,-3,0,17
172,306,10/08/2005,2005,1,Vanderbilt,LSU,6,34,0,-28,-7,-2,-6,0,-2,-10,-172,-9,-97,-17,-169,-582,1,1,1
173,307,10/08/2005,2005,1,Virginia Tech,Marshall,41,14,1,27,6,-11,-7,-1,-1,-2,59,-5,-26,-2,69,-468,-1,0,-10
174,308,10/08/2005,2005,1,Temple,Maryland,7,38,0,-31,-10,-1,-2,-1,2,-14,-136,2,37,-9,-110,-402,-3,0,-19
175,311,10/08/2005,2005,1,Florida,Mississippi State,35,9,1,26,6,0,1,0,-1,10,155,4,41,7,82,494,-1,2,13
176,312,10/08/2005,2005,1,Oklahoma State,Missouri,31,38,0,-7,-5,-3,-4,1,1,-7,-4,0,-51,-5,-194,-354,-1,1,-2
177,314,10/08/2005,2005,1,Arkansas,Louisiana-Monroe,44,15,1,29,7,-10,-3,1,0,-3,-31,-8,-59,7,144,-468,1,0,-16
178,315,10/08/2005,2005,1,Penn State,Ohio State,17,10,1,7,-1,-2,-3,1,-1,-2,-61,1,4,-3,26,-204,1,-1,-5
179,316,10/08/2005,2005,1,Bowling Green,Ohio,38,14,1,24,11,2,4,2,1,11,210,-1,-8,12,124,388,2,-1,14
180,317,10/08/2005,2005,1,Texas,Oklahoma,45,12,1,33,2,-3,0,1,0,2,147,6,60,7,126,38,1,-1,-6
181,319,10/08/2005,2005,1,Boise State,Portland State,21,14,1,7,6,2,5,0,0,5,152,2,-8,22,48,1128,0,2,-1
182,320,10/08/2005,2005,1,East Carolina,Rice,41,28,1,13,-11,1,3,-3,0,13,268,1,43,-23,-126,-362,-4,0,16
183,321,10/08/2005,2005,1,UNLV,San Diego State,13,10,1,3,4,2,4,-2,0,-6,-18,0,-7,14,119,434,-2,-1,-10
184,322,10/08/2005,2005,1,Utah State,San Jose State,24,17,1,7,2,0,3,-1,1,1,-27,-2,-47,15,-1,206,-1,0,-16
